Rating,Comments,Start Date
3,The exterior of the residence hall needs maintenance and cleaning. The environment everywhere else is the campus was beautiful. The residence halls deserve the care and attention given other areas of the campus.,10/15/2024 0:00
4,Nope! It was well decorated and felt very realband homey. :),10/5/2024 0:00
2,Too cramped- 3 people in a room is a lot,10/5/2024 0:00
3,It might be nice to see the beds lofted for a more realistic living space,10/4/2024 0:00
4,Its very big see yall in 3 years,10/4/2024 0:00
4,No,10/3/2024 0:00
2,It was really nice to go around the school it was rlly nice.,10/2/2024 0:00
1,Maybe a littlle better rooms for underclassmen,9/25/2024 0:00
4,No,9/25/2024 0:00
4,Would like to see Osprey Hall- not interested in 3 people rooms,9/24/2024 0:00
3,"The room is good for a double occupancy, but for a triple occupancy it is very tight.",9/22/2024 0:00
4,Great idea to have a showroom.,9/21/2024 0:00
2,"It was very cold, the mirror was very daunting and large. IMO the layout should be changed and there should only be a mirror in the bathroom.",9/21/2024 0:00
3,Overall it was fine but 3 people would be very cramped for 1 room,9/21/2024 0:00
4,"talk about cost & maintenance quality/frequency, have tours of other dorm styles by appointment",9/21/2024 0:00
2,Fix the smells,9/20/2024 0:00
4,No,9/20/2024 0:00
4,The overall tour was good and I would definitely go back,9/20/2024 0:00
0,The housing showroom for incoming freshman was completely unacceptable.,9/14/2024 0:00
3,No,9/11/2024 0:00
4,Nothing the tour was great,9/10/2024 0:00
3,Smelled like mildew but other than that a very nice example,9/10/2024 0:00
4,I wish I could have seen the communal kitchen.,9/7/2024 0:00
3,Beds are so close together !,8/31/2024 0:00
4,No.,8/31/2024 0:00
4,Maybe seeing an additional room for after first year would be nice also,8/26/2024 0:00
4,N/A,8/22/2024 0:00
2,Bldg was moldy on the outside. They need pressure washing.,8/17/2024 0:00
3,website to look at upperclassman housing doesnâ€™t work.,8/16/2024 0:00
2,"It was a little dated, but itâ€™s what to be expected I guess for first year?",8/13/2024 0:00
0,rooms stink,8/8/2024 0:00
3,3 students in a room is too crowded and not ideal.,8/3/2024 0:00
1,A little more room for 3 people,8/3/2024 0:00
4,It was just perfect great tour,8/3/2024 0:00
3,Looked a bit outdated,8/1/2024 0:00
3,No feedback,8/1/2024 0:00
1,to make sure there is an air freshener as the room smelled musty and felt very dated,8/1/2024 0:00
2,Had a bad smell.,7/31/2024 0:00
4,Brennan was an amazing tour guide! Very personable and informative,7/30/2024 0:00
3,"From the outside, some dorms looked a little run down, ie. some dirt on the windows/side walls. I think with a little landscaping or pressure washing it would really increase the appeal of the dorms from the outside.",7/26/2024 0:00
4,The dorms need upkeep.  Mold on outside.,7/24/2024 0:00
4,I do not have additional feedback,7/23/2024 0:00
2,Not a huge fan of the outside/hotel like dorm rooms. Seems like it would hinder a sense of community.,7/23/2024 0:00
4,The residence hall was good. They provided refreshments and fans for the heat.,7/23/2024 0:00
3,Wish we could have seen the hall and the other residences and also get a cost summary of the semester,7/23/2024 0:00
2,I do not.,7/22/2024 0:00
4,Everything was great,7/21/2024 0:00
2,I would like to have seen some of the other options for dorms.,7/20/2024 0:00
3,It's Outside.,7/20/2024 0:00
4,No,7/20/2024 0:00
4,Room were a lot big then I thought and they were very nice,7/20/2024 0:00
4,Tour guide was kind and informative. Microphone made it harder to hear than just if they talked out loud. We were also told we were talking a bathroom break and then when we returned from the bathroom the tour guide and group was gone. Ended up just leaving due to this and only got to experience half our tour.,7/20/2024 0:00
3,No,7/18/2024 0:00
3,"As a parent, it really scares me that the rooms open right onto campus rather than being contained within a building with an entrance door.",7/14/2024 0:00
1,3 to a room is too much,7/13/2024 0:00
2,Floor of room was dirty. Surprised 3 people would share that room. I,7/13/2024 0:00
4,No,7/12/2024 0:00
4,We would have liked to be able to see more classrooms and inside of buildings,7/12/2024 0:00
4,It was amazing!!!,7/11/2024 0:00
4,N/A,7/11/2024 0:00
4,"No, its really nice",7/11/2024 0:00
4,Very clean I really liked it he also explained well the other types of housing and things within the housing building,7/11/2024 0:00
1,The housing showroom was not very clean.,7/10/2024 0:00
0,"The residence halll shown for freshman is just awful compared to the other state universities we have toured.  Sadly, this really lowered UNF to the bottom of our list.",7/5/2024 0:00
4,The college looked so good ðŸ˜,7/4/2024 0:00
4,Isabella did a wonderful job! She made jokes and showed us a lot of cool things!,7/3/2024 0:00
3,Meghan was incredible. So knowledgeable about everything UNF.,7/3/2024 0:00
4,N/A,7/3/2024 0:00
4,Skylar was awesome!,7/2/2024 0:00
